pmm,smm,vmm,exclude,deceased,first_name,nick_name,last_name,organization_name,total_donations,total_pledge,largest_gift,largest_gift_appeal,first_gift_date,last_gift_date,last_gift_amount,last_gift_request,last_gift_appeal,address_line1,address_line2,city,contact_phone_type,phone_restrictions,email_restrictions,communication_restrictions,subscription_events_in_person,subscription_events_magazine,communication_preference,__ml_lable,__ml_total_invitations,__ml_total_attendance,__ml_last_invitation_attendance,__ml_invitation_acceptance_rate,__ml_total_donations,__ml_largest_gift,__ml_last_gift_amount
Gurtrude Schmidt,Jane Doe,Sven Müller,no,no,Jane,,Hernández,,440004,0,270371,Appeal3,1608235088,1660322910,145651,1708724012,Appeal3,333 Magnolia Boulevard,Apt 303,Nanaimo,Work,,,No Surveys,Opt-in,Opt-out,Thank you,0,2,2,1,1.0,15641,2158,1893
Maria González,Carlos Hernández,Hassan Ahmed,no,no,Hassan,,김,,952092,0,789190,Appeal1,1584177811,679042397,187579,1731051095,Appeal3,454 Birchwood Lane,Unit 404,Prince George,Work,No Mass Communications,,,Opt-in,Opt-in,Newsletter,1,10,10,1,1.0,39139,14878,10597
Hiroshi Nakamura,Bob Brown,Olga Smirnov,yes,no,Ahmed,,김,,0,755888,0,Appeal2,0,0,0,1721089677,Appeal2,909 Aspenwood Way,Apt 343,North Vancouver,Mobile,Do Not Call,,No Surveys,Opt-out,Opt-in,Magazine,1,6,3,1,0.5,74722,24036,11460
Maria González,Carlos Hernández,Hassan Ahmed,no,no,Sven,Sweetie,Gupta,,496432,0,185034,Appeal1,1689112731,327344147,162715,1715572766,Appeal1,404 Spruce Road,Apt 303,Prince George,Work,No Surveys,No Mass Appeals,No Surveys,Opt-out,Opt-in,Inspiration event,1,2,1,1,0.5,93901,81956,11747
Maria González,Carlos Hernández,Hassan Ahmed,yes,no,Zainab,,Иванов,,0,0,0,Appeal2,0,0,0,1720006033,Appeal1,454 Birchwood Lane,Apt 303,Williams Lake,Work,,No Mass Communications,No Surveys,Opt-in,Opt-out,,1,13,13,1,1.0,73851,32641,24648
Gurtrude Schmidt,John Doe,Chao Nguyen,yes,no,Dimitri,,佐藤,,156159,952089,103282,Appeal3,1609515217,722702109,25485,1713422046,Appeal3,333 Magnolia Boulevard,Apt 888,Nanaimo,Home,,No Mass Appeals,No Mass Communications,Opt-in,Opt-out,,0,16,16,1,1.0,22147,20526,9106
Gurtrude Schmidt,John Doe,Sven Müller,no,no,Carlos,Darling,Müller,,0,359760,0,Appeal2,0,0,0,1722087675,Appeal3,1818 Juniperwood Drive,Apt 666,Parksville,Home,No Surveys,No Surveys,No Mass Appeals,Opt-in,Opt-out,Appeal,1,8,5,1,0.625,27505,20841,13361
Parvati Patel,Bob Brown,Priya Gupta,yes,no,Leila,,Müller,,143870,978815,9947,Appeal2,1734651604,957322698,85449,1731464394,Appeal2,343 Pinewood Avenue,Apt 343,Delta,Home,No Mass Appeals,Do Not Email,,Opt-in,Opt-out,Inspiration event,1,12,11,1,0.9166666666666666,67836,17789,4087
Parvati Patel,Bob Brown,Olga Smirnov,yes,no,Carlos,,Jones,,0,610113,0,Appeal1,0,0,0,1726239824,Appeal3,1212 Firwood Place,Apt 121,Delta,Mobile,No Surveys,,,Opt-in,Opt-out,Event,1,7,5,1,0.7142857142857143,33906,8357,345
Hiroshi Nakamura,Alice Smith,Olga Smirnov,no,no,Sergei,Honey,González,,734676,779609,612181,Appeal3,1633197646,869917059,241288,1737488777,Appeal3,676 Elmwood Court,Apt 505,Abbotsford,Work,Do Not Call,No Mass Communications,No Mass Communications,Opt-in,Opt-in,,0,6,4,1,0.6666666666666666,71805,683,236
Parvati Patel,Alice Smith,Priya Gupta,no,no,Chao,Peach,Lee,Hilarity Holdings,0,822330,0,Appeal2,0,0,0,1736334220,Appeal2,404 Spruce Road,Unit 808,Vancouver,Work,No Mass Appeals,No Mass Appeals,No Surveys,Opt-out,Opt-in,Event,0,9,9,1,1.0,3219,861,595
Hiroshi Nakamura,Bob Brown,Priya Gupta,no,no,Leila,,González,,0,519232,0,Appeal2,0,0,0,1719163059,Appeal3,808 Cypress Place,Apt 222,Abbotsford,Home,,No Mass Appeals,No Mass Communications,Opt-out,Opt-out,Research update,0,5,1,1,0.2,14003,3667,170
Gurtrude Schmidt,John Doe,Chao Nguyen,yes,no,Sven,,김,,566770,913363,103558,Appeal3,1621398600,1651961940,61759,1711603522,Appeal3,404 Spruce Road,,Saanich,Work,No Mass Communications,,No Surveys,Opt-out,Opt-out,Event,1,13,13,1,1.0,39083,29852,28440
Hiroshi Nakamura,Bob Brown,Priya Gupta,no,no,Priya,,Brown,,0,299050,0,Appeal3,0,0,0,1724975227,Appeal1,555 Hickory Drive,Apt 909,Maple Ridge,Work,No Surveys,No Surveys,Do Not Email,Opt-out,Opt-out,Magazine,1,12,12,1,1.0,18892,12229,4829
Maria González,Carlos Hernández,Hassan Ahmed,no,no,Priya,Honey,Nguyen,,23965,373243,20901,Appeal2,1645929699,643823045,1707,1712837582,Appeal1,1515 Magnoliawood Lane,Unit 202,Kelowna,Home,Do Not Call,,No Surveys,Opt-out,Opt-in,Newsletter,0,3,1,1,0.3333333333333333,48619,11189,10514
Hiroshi Nakamura,Bob Brown,Priya Gupta,yes,no,Hassan,,Williams,Quirky Quacks,945967,202905,277373,Appeal1,1667088932,1093993495,155462,1723984744,Appeal1,343 Pinewood Avenue,Unit 111,Surrey,Work,Do Not Call,No Mass Communications,,Opt-out,Opt-in,Thank you,1,8,5,1,0.625,45417,33961,28945
Gurtrude Schmidt,John Doe,Sven Müller,yes,no,Alice,,Silva,,714376,0,510303,Appeal1,1635391523,895837891,201374,1713591521,Appeal3,1010 Redwoodwood Circle,Apt 222,Nanaimo,Mobile,Do Not Call,No Mass Appeals,No Surveys,Opt-out,Opt-in,Event,1,8,3,1,0.375,57769,53016,41214
Hiroshi Nakamura,Alice Smith,Priya Gupta,no,no,Hassan,,López,,0,189796,0,Appeal3,0,0,0,1715579210,Appeal3,1919 Laurelwood Road,Unit 232,West Vancouver,Mobile,No Surveys,No Mass Appeals,,Opt-out,Opt-out,Survey,1,8,5,0,0.625,65898,49803,42647
Gurtrude Schmidt,John Doe,Chao Nguyen,no,no,Fatima,Dear,Nakamura,Nonsense Enterprises,185863,628610,176716,Appeal2,1662331096,845062595,147805,1739021539,Appeal2,101 Birch Boulevard,Unit 404,Campbell River,Mobile,Do Not Call,No Surveys,No Surveys,Opt-out,Opt-out,Event,1,6,3,1,0.5,52295,28208,13705
Parvati Patel,Bob Brown,Olga Smirnov,yes,no,Chao,Precious,김,,0,352063,0,Appeal2,0,0,0,1711492629,Appeal2,444 Dogwood Court,,Surrey,Home,Do Not Call,No Surveys,No Surveys,Opt-in,Opt-out,Newsletter,1,9,4,0,0.4444444444444444,21989,6392,5383
Hiroshi Nakamura,Bob Brown,Priya Gupta,no,no,Dimitri,Buddy,González,,886685,0,277912,Appeal2,1626214151,1079578253,20138,1714439120,Appeal2,888 Sequoia Circle,,Delta,Mobile,No Mass Communications,Do Not Email,,Opt-in,Opt-in,Appeal,0,1,0,0,0.0,6987,4761,443
Hiroshi Nakamura,Bob Brown,Olga Smirnov,no,no,Dimitri,Angel,Williams,,0,0,0,Appeal2,0,0,0,1732170508,Appeal3,707 Redwood Terrace,,Abbotsford,Mobile,No Surveys,Do Not Email,Do Not Email,Opt-out,Opt-out,Appeal,0,12,10,0,0.8333333333333334,20132,10103,140
Gurtrude Schmidt,John Doe,Chao Nguyen,yes,no,Zainab,Snookums,Öztürk,,0,764862,0,Appeal3,0,0,0,1736381714,Appeal2,454 Birchwood Lane,Unit 404,Parksville,Mobile,Do Not Call,No Mass Communications,No Mass Appeals,Opt-in,Opt-in,Holiday Card,0,3,2,0,0.6666666666666666,21777,18264,107
Parvati Patel,Bob Brown,Olga Smirnov,no,no,Zainab,,Иванов,,847522,663793,663649,Appeal1,1735380226,821157178,204672,1716241357,Appeal3,909 Aspenwood Way,Unit 808,Delta,Mobile,No Mass Communications,,No Mass Appeals,Opt-out,Opt-out,Survey,1,12,10,1,0.8333333333333334,88487,38145,29132
Peter Smith,Jane Doe,Chao Nguyen,no,no,Hiroshi,,Chen,,0,502476,0,Appeal2,0,0,0,1737001974,Appeal3,808 Cypress Place,Apt 222,Victoria,Home,Do Not Call,No Mass Appeals,Do Not Email,Opt-in,Opt-in,Inspiration event,1,15,15,1,1.0,86867,8616,6704
Parvati Patel,Alice Smith,Priya Gupta,no,no,Carlos,,Smith,,798634,386454,201896,Appeal1,1637107739,1078243079,317614,1726296689,Appeal3,1313 Poplarwood Street,,Vancouver,Mobile,No Mass Communications,,No Mass Communications,Opt-out,Opt-out,Newsletter,1,6,4,1,0.6666666666666666,83492,12244,8368
Hiroshi Nakamura,Bob Brown,Priya Gupta,yes,no,Amina,,Lee,,0,135133,0,Appeal1,0,0,0,1710825039,Appeal1,909 Aspenwood Way,Unit 606,Burnaby,Work,No Surveys,No Mass Appeals,Do Not Email,Opt-in,Opt-out,,0,16,16,0,1.0,18562,14774,12239
Hiroshi Nakamura,Bob Brown,Priya Gupta,yes,no,Chao,Sugar,García,Gag Gifts Galore,665535,120555,479693,Appeal1,1703869500,1284538593,368154,1716950738,Appeal1,123 Maple Street,,Abbotsford,Home,No Surveys,,Do Not Email,Opt-out,Opt-in,Newsletter,0,11,9,0,0.8181818181818182,21585,5941,2339
Maria González,Carlos Hernández,Hassan Ahmed,no,no,Maria,,Chen,,0,408141,0,Appeal3,0,0,0,1715826921,Appeal1,676 Elmwood Court,Apt 787,Kelowna,Mobile,Do Not Call,No Mass Communications,No Mass Appeals,Opt-in,Opt-in,Appeal,1,8,7,1,0.875,92062,5294,330
Gurtrude Schmidt,John Doe,Sven Müller,yes,no,Sergei,,Ivanov,,0,690521,0,Appeal2,0,0,0,1723107074,Appeal2,787 Sprucewood Drive,,Nanaimo,Home,No Surveys,No Mass Communications,Do Not Email,Opt-out,Opt-out,Survey,1,11,9,0,0.8181818181818182,30943,27465,2382
Hiroshi Nakamura,Bob Brown,Priya Gupta,no,no,Leila,Darling,González,Whimsy Works,0,53106,0,Appeal3,0,0,0,1730412237,Appeal1,1111 Cypresswood Terrace,,North Vancouver,Home,No Mass Appeals,No Surveys,No Mass Communications,Opt-out,Opt-out,Magazine,1,9,6,1,0.6666666666666666,33508,13234,12058
Peter Smith,John Doe,Chao Nguyen,no,no,Zainab,Buttercup,Hernández,,273086,502242,189214,Appeal2,1630690106,1622899743,74234,1725474111,Appeal3,999 Alder Terrace,Apt 787,Victoria,Home,,No Surveys,,Opt-out,Opt-in,Thank you,1,15,15,1,1.0,47115,30700,29552
Gurtrude Schmidt,John Doe,Sven Müller,no,no,Alice,Buttercup,Иванов,,0,371008,0,Appeal1,0,0,0,1712322853,Appeal3,606 Aspen Circle,Unit 333,Saanich,Work,No Surveys,No Mass Appeals,,Opt-in,Opt-in,Holiday Card,1,9,9,1,1.0,29134,4181,2354
Gurtrude Schmidt,John Doe,Sven Müller,yes,no,Dimitri,,Öztürk,,651749,132080,391512,Appeal1,1598524245,1249207600,223546,1738416926,Appeal3,1919 Laurelwood Road,Apt 444,Saanich,Mobile,,No Surveys,No Mass Appeals,Opt-in,Opt-out,,1,6,5,0,0.8333333333333334,35181,33734,18584
Parvati Patel,Alice Smith,Olga Smirnov,yes,no,Hassan,,Brown,,145412,87800,40732,Appeal1,1636747506,1201910423,10761,1737617583,Appeal3,343 Pinewood Avenue,,Langley,Mobile,,Do Not Email,No Surveys,Opt-out,Opt-out,Thank you,1,3,1,1,0.3333333333333333,7070,3107,1058
Parvati Patel,Bob Brown,Priya Gupta,no,no,Amina,Buddy,Иванов,,0,749319,0,Appeal3,0,0,0,1725254970,Appeal2,898 Willowwood Road,Unit 555,North Vancouver,Work,,,No Mass Communications,Opt-out,Opt-in,Magazine,1,3,0,0,0.0,81223,79357,21055
Gurtrude Schmidt,John Doe,Chao Nguyen,no,no,Dimitri,,Jones,,0,40218,0,Appeal3,0,0,0,1736341028,Appeal1,343 Pinewood Avenue,Apt 222,Campbell River,Work,,Do Not Email,No Surveys,Opt-out,Opt-out,Thank you,1,9,8,1,0.8888888888888888,86188,43916,15209
Hiroshi Nakamura,Alice Smith,Olga Smirnov,yes,no,Maria,Dear,Иванов,,231817,970043,119963,Appeal1,1628128364,304215973,18096,1708629034,Appeal2,303 Elm Drive,Apt 444,Surrey,Work,,No Surveys,,Opt-in,Opt-out,Appeal,1,16,16,0,1.0,53561,26199,18795
Hiroshi Nakamura,Alice Smith,Olga Smirnov,no,no,Sven,,Hernández,,0,491647,0,Appeal1,0,0,0,1736826807,Appeal3,888 Sequoia Circle,Unit 232,Maple Ridge,Work,Do Not Call,Do Not Email,Do Not Email,Opt-out,Opt-in,,0,3,3,0,1.0,70252,8313,1904
Peter Smith,Jane Doe,Chao Nguyen,no,no,Maria,Angel,Smith,,935660,602685,816686,Appeal2,1671944432,1518446072,125667,1713732903,Appeal1,111 Poplar Avenue,Unit 898,Nanaimo,Home,,No Surveys,No Mass Communications,Opt-in,Opt-in,Inspiration event,0,3,0,0,0.0,62356,29829,2633
Gurtrude Schmidt,John Doe,Chao Nguyen,no,no,Hassan,Babe,Ivanov,,134647,871196,34977,Appeal1,1597492906,529075888,11658,1713451812,Appeal3,333 Magnolia Boulevard,Unit 999,Campbell River,Mobile,No Surveys,No Mass Communications,Do Not Email,Opt-out,Opt-in,Research update,1,10,7,0,0.7,3902,2543,1988
Gurtrude Schmidt,Jane Doe,Chao Nguyen,yes,no,Hassan,,Lee,,135471,98629,81595,Appeal3,1737810702,99823267,21894,1735783527,Appeal1,456 Oak Avenue,Apt 444,Saanich,Home,,No Surveys,No Mass Appeals,Opt-in,Opt-out,Newsletter,1,2,1,1,0.5,31687,27587,16137
Gurtrude Schmidt,John Doe,Sven Müller,no,no,Yuki,,Hernández,,0,976588,0,Appeal2,0,0,0,1727935846,Appeal2,1919 Laurelwood Road,,Campbell River,Home,No Mass Communications,No Mass Communications,No Mass Appeals,Opt-in,Opt-out,Event,1,7,5,1,0.7142857142857143,71108,1920,494
Hiroshi Nakamura,Bob Brown,Priya Gupta,no,no,Jane,,Ivanov,,0,323271,0,Appeal1,0,0,0,1736069292,Appeal3,676 Elmwood Court,,White Rock,Home,,,No Mass Appeals,Opt-out,Opt-in,,1,3,3,0,1.0,57262,48106,41957
Parvati Patel,Alice Smith,Priya Gupta,yes,no,Rajesh,,González,,760447,762091,536268,Appeal1,1619957166,14785354,211984,1714355945,Appeal3,787 Sprucewood Drive,Apt 444,New Westminster,Mobile,No Mass Communications,No Mass Communications,No Surveys,Opt-in,Opt-out,Event,0,9,8,0,0.8888888888888888,10331,10021,9251
Hiroshi Nakamura,Alice Smith,Olga Smirnov,no,no,Rajesh,Cutie,Nakamura,,136925,354004,88906,Appeal3,1650923659,70585348,58210,1709995429,Appeal2,202 Cedar Court,,Port Coquitlam,Work,No Mass Communications,No Mass Communications,No Mass Appeals,Opt-in,Opt-in,,1,3,0,0,0.0,94809,14908,11653
Peter Smith,Jane Doe,Chao Nguyen,no,no,Ingrid,Peach,González,,598437,502906,529687,Appeal1,1623417034,571492245,10166,1709345483,Appeal3,676 Elmwood Court,Apt 505,Saanich,Mobile,Do Not Call,Do Not Email,,Opt-in,Opt-out,Thank you,1,12,10,1,0.8333333333333334,35005,24557,4426
Maria González,Carlos Hernández,Hassan Ahmed,yes,no,Dimitri,,김,Quirky Quacks,0,818323,0,Appeal2,0,0,0,1730123299,Appeal1,1515 Magnoliawood Lane,,Williams Lake,Home,No Mass Appeals,No Surveys,No Surveys,Opt-out,Opt-in,Holiday Card,1,7,3,1,0.42857142857142855,70223,33910,11852
Hiroshi Nakamura,Alice Smith,Olga Smirnov,no,no,John,,Müller,,0,401819,0,Appeal1,0,0,0,1715610142,Appeal3,909 Fir Street,,Langley,Mobile,No Surveys,Do Not Email,No Surveys,Opt-out,Opt-in,Survey,1,15,15,1,1.0,75098,34205,1756
Parvati Patel,Bob Brown,Olga Smirnov,no,no,John,,García,,43601,325363,27337,Appeal1,1587881394,1130601867,19857,1722454994,Appeal3,1818 Juniperwood Drive,Apt 222,Coquitlam,Mobile,Do Not Call,No Mass Communications,Do Not Email,Opt-out,Opt-in,Thank you,0,8,6,1,0.75,17207,13480,11843
Parvati Patel,Alice Smith,Priya Gupta,yes,no,Maria,Angel,김,Silly Solutions,0,566963,0,Appeal1,0,0,0,1720610991,Appeal1,898 Willowwood Road,Unit 606,West Vancouver,Home,No Surveys,,Do Not Email,Opt-out,Opt-out,Inspiration event,1,3,1,1,0.3333333333333333,94512,9988,6721
Parvati Patel,Alice Smith,Priya Gupta,yes,no,Ingrid,,Smith,,0,0,0,Appeal1,0,0,0,1735658500,Appeal2,808 Cypress Place,,Vancouver,Work,No Mass Appeals,No Mass Appeals,No Mass Communications,Opt-in,Opt-in,Newsletter,1,12,11,1,0.9166666666666666,64928,40946,13580
Peter Smith,Jane Doe,Chao Nguyen,no,no,Amina,,Иванов,,908859,736571,863265,Appeal2,1679052172,200553376,222215,1739383961,Appeal3,1818 Juniperwood Drive,Unit 898,Campbell River,Work,No Mass Communications,Do Not Email,No Mass Communications,Opt-out,Opt-in,Magazine,1,10,7,1,0.7,85557,48064,28235
Maria González,Carlos Hernández,Hassan Ahmed,no,no,Alice,Pumpkin,López,,0,648100,0,Appeal2,0,0,0,1720512964,Appeal3,111 Poplar Avenue,Unit 999,Kelowna,Home,Do Not Call,,Do Not Email,Opt-out,Opt-out,,1,3,1,0,0.3333333333333333,78025,47666,13942
Hiroshi Nakamura,Bob Brown,Priya Gupta,yes,no,Hiroshi,Sunshine,Chen,,0,370409,0,Appeal2,0,0,0,1734197267,Appeal1,444 Dogwood Court,Unit 808,White Rock,Work,Do Not Call,No Mass Appeals,No Surveys,Opt-out,Opt-in,Thank you,1,11,10,1,0.9090909090909091,92587,13546,5602
Hiroshi Nakamura,Bob Brown,Priya Gupta,yes,no,Fatima,,Kumar,Jester Jamboree,0,79509,0,Appeal1,0,0,0,1710232379,Appeal1,1111 Cypresswood Terrace,Apt 707,Surrey,Work,,No Surveys,,Opt-in,Opt-in,Thank you,1,4,2,0,0.5,9234,6408,224
Peter Smith,John Doe,Sven Müller,no,no,Leila,,Gupta,,493379,6612,397087,Appeal1,1706184721,1440898973,15270,1737494382,Appeal1,898 Willowwood Road,Unit 606,Victoria,Work,,,,Opt-out,Opt-in,Inspiration event,0,4,1,1,0.25,44938,6084,2412
Gurtrude Schmidt,Jane Doe,Sven Müller,no,no,Sergei,Dear,Gupta,,0,292412,0,Appeal3,0,0,0,1735988687,Appeal1,1414 Sycamorewood Avenue,Apt 222,Parksville,Work,No Mass Communications,No Mass Appeals,No Mass Communications,Opt-in,Opt-in,Thank you,1,2,1,0,0.5,92373,64386,18147
Peter Smith,Jane Doe,Sven Müller,yes,no,Leila,,Cohen,Goofy Gadgets,393916,198568,317309,Appeal1,1699278237,467859209,67915,1724568350,Appeal1,1313 Poplarwood Street,Unit 404,Saanich,Work,No Surveys,No Mass Communications,,Opt-in,Opt-out,Magazine,0,12,12,1,1.0,12208,2895,1257
Parvati Patel,Alice Smith,Priya Gupta,yes,no,Yuki,,王,,715183,94357,446420,Appeal2,1634059283,1515988213,153430,1733906911,Appeal2,777 Laurel Way,Apt 303,Port Coquitlam,Home,,No Mass Appeals,No Surveys,Opt-in,Opt-in,Inspiration event,1,14,14,1,1.0,84899,67150,51695
Peter Smith,John Doe,Chao Nguyen,no,no,Rajesh,,Kim,,0,340900,0,Appeal3,0,0,0,1729757842,Appeal2,101 Birch Boulevard,,Campbell River,Work,No Surveys,Do Not Email,No Mass Communications,Opt-out,Opt-in,Holiday Card,1,16,16,1,1.0,33495,9907,2081
Peter Smith,John Doe,Chao Nguyen,no,no,Peter,,Silva,,596653,153630,50097,Appeal2,1657287128,208382032,89123,1710508510,Appeal2,1212 Firwood Place,,Nanaimo,Work,No Mass Appeals,No Mass Communications,No Mass Communications,Opt-out,Opt-in,Holiday Card,1,6,4,1,0.6666666666666666,59307,2479,2326
Maria González,Carlos Hernández,Hassan Ahmed,no,no,Ingrid,Honey,Kumar,,0,911551,0,Appeal1,0,0,0,1718496723,Appeal3,1717 Hickorywood Court,Apt 121,Vernon,Work,No Mass Appeals,Do Not Email,No Mass Appeals,Opt-out,Opt-in,Magazine,1,5,2,1,0.4,54744,5676,1601
Parvati Patel,Bob Brown,Priya Gupta,yes,no,Peter,,Lee,,890216,129790,783770,Appeal3,1583276555,185826878,602044,1725211269,Appeal1,888 Sequoia Circle,Unit 404,Delta,Mobile,No Mass Communications,No Mass Communications,Do Not Email,Opt-in,Opt-in,Newsletter,1,5,1,1,0.2,81722,78092,10281
Hiroshi Nakamura,Bob Brown,Olga Smirnov,no,no,Carlos,Dear,Smith,,0,993907,0,Appeal1,0,0,0,1727999862,Appeal3,444 Dogwood Court,Unit 999,New Westminster,Work,No Surveys,Do Not Email,No Mass Communications,Opt-out,Opt-out,Magazine,1,10,7,1,0.7,61936,34013,8367
Maria González,Carlos Hernández,Hassan Ahmed,yes,no,Hiroshi,,Nguyen,,591383,922288,218803,Appeal3,1601984710,1628925985,9550,1709228295,Appeal1,555 Hickory Drive,Unit 333,Kelowna,Work,No Mass Communications,No Mass Communications,,Opt-in,Opt-out,Holiday Card,1,13,13,1,1.0,95756,8676,7878
Hiroshi Nakamura,Alice Smith,Priya Gupta,no,no,Leila,Champ,Müller,,749143,857834,480863,Appeal2,1657956686,855747551,163140,1737517561,Appeal2,909 Fir Street,Unit 808,Vancouver,Home,No Mass Appeals,Do Not Email,,Opt-in,Opt-in,Holiday Card,1,4,3,1,0.75,12478,10352,5042
Parvati Patel,Alice Smith,Priya Gupta,no,no,Sven,,Chen,,0,159607,0,Appeal1,0,0,0,1715851439,Appeal1,1111 Cypresswood Terrace,Unit 232,Coquitlam,Mobile,No Mass Communications,Do Not Email,No Surveys,Opt-in,Opt-in,Research update,1,4,3,1,0.75,62859,1463,529
Parvati Patel,Alice Smith,Priya Gupta,yes,no,Sven,,Gupta,,44785,376657,25261,Appeal2,1704923075,1101376499,9278,1713294759,Appeal3,404 Spruce Road,Apt 565,Burnaby,Work,No Mass Appeals,Do Not Email,No Mass Appeals,Opt-in,Opt-in,Survey,1,10,6,1,0.6,3756,397,363
Hiroshi Nakamura,Bob Brown,Olga Smirnov,no,no,Zainab,Dear,김,,64884,583425,52238,Appeal1,1594316936,981428342,19730,1738791420,Appeal2,676 Elmwood Court,Unit 454,Port Coquitlam,Mobile,No Mass Appeals,Do Not Email,,Opt-out,Opt-in,Event,1,12,10,1,0.8333333333333334,39137,2934,1934
Hiroshi Nakamura,Alice Smith,Olga Smirnov,no,no,Jane,,Nguyen,Silly Solutions,869873,779487,613140,Appeal1,1610211673,1536137986,41291,1731922213,Appeal1,303 Elm Drive,Apt 101,Langley,Work,,No Surveys,No Surveys,Opt-out,Opt-in,Survey,1,0,0,0,0.0,96713,22531,16359
Peter Smith,Jane Doe,Sven Müller,yes,no,Rajesh,Buddy,Nguyen,,0,279126,0,Appeal2,0,0,0,1734890509,Appeal3,232 Oakwood Street,,Courtenay,Home,,,,Opt-out,Opt-in,,0,4,1,1,0.25,60689,11430,1816
Hiroshi Nakamura,Alice Smith,Priya Gupta,yes,no,Rajesh,,López,Jester Jamboree,0,505097,0,Appeal3,0,0,0,1727232744,Appeal3,111 Poplar Avenue,Unit 111,New Westminster,Work,Do Not Call,No Mass Appeals,Do Not Email,Opt-out,Opt-out,Magazine,1,5,3,1,0.6,8652,7997,1080
